n_nodes,alpha,rebalance_active,run_id,tau,rebalances_done
10,0.0,False,0,95907,0
10,0.0,False,1,88694,0
10,0.0,False,2,28686,0
10,0.0,False,3,51676,0
10,0.0,False,4,67848,0
10,0.0,False,5,84942,0
10,0.0,False,6,58876,0
10,0.0,False,7,72658,0
10,0.0,False,8,50169,0
10,0.0,False,9,60111,0
10,0.0,False,10,62007,0
10,0.0,False,11,42217,0
10,0.0,False,12,85080,0
10,0.0,False,13,75356,0
10,0.0,False,14,76335,0
10,0.0,False,15,65190,0
10,0.0,False,16,53716,0
10,0.0,False,17,77836,0
10,0.0,False,18,75333,0
10,0.0,False,19,83693,0
10,0.2,False,0,10418,0
10,0.2,False,1,11750,0
10,0.2,False,2,10710,0
10,0.2,False,3,11890,0
10,0.2,False,4,9897,0
10,0.2,False,5,10875,0
10,0.2,False,6,10305,0
10,0.2,False,7,10903,0
10,0.2,False,8,11445,0
10,0.2,False,9,7637,0
10,0.2,False,10,11533,0
10,0.2,False,11,10035,0
10,0.2,False,12,10683,0
10,0.2,False,13,10848,0
10,0.2,False,14,10932,0
10,0.2,False,15,11098,0
10,0.2,False,16,10006,0
10,0.2,False,17,10907,0
10,0.2,False,18,8825,0
10,0.2,False,19,11449,0
10,0.2,True,0,11030,22
10,0.2,True,1,11233,28
10,0.2,True,2,9757,74
10,0.2,True,3,10560,27
10,0.2,True,4,10220,24
10,0.2,True,5,10540,16
10,0.2,True,6,10390,60
10,0.2,True,7,10930,87
10,0.2,True,8,10700,33
10,0.2,True,9,11090,97
10,0.2,True,10,9480,11
10,0.2,True,11,10480,186
10,0.2,True,12,10710,177
10,0.2,True,13,10550,29
10,0.2,True,14,9638,53
10,0.2,True,15,10380,73
10,0.2,True,16,9712,193
10,0.2,True,17,11340,65
10,0.2,True,18,9680,25
10,0.2,True,19,10720,102
10,0.4,False,0,5860,0
10,0.4,False,1,5997,0
10,0.4,False,2,5400,0
10,0.4,False,3,6008,0
10,0.4,False,4,5267,0
10,0.4,False,5,5814,0
10,0.4,False,6,5984,0
10,0.4,False,7,6391,0
10,0.4,False,8,6216,0
10,0.4,False,9,5349,0
10,0.4,False,10,5169,0
10,0.4,False,11,5761,0
10,0.4,False,12,6368,0
10,0.4,False,13,5670,0
10,0.4,False,14,5484,0
10,0.4,False,15,5502,0
10,0.4,False,16,5526,0
10,0.4,False,17,6359,0
10,0.4,False,18,5214,0
10,0.4,False,19,5899,0
10,0.4,True,0,4780,22
10,0.4,True,1,5140,8
10,0.4,True,2,4930,103
10,0.4,True,3,5000,14
10,0.4,True,4,5240,130
10,0.4,True,5,5390,157
10,0.4,True,6,5701,303
10,0.4,True,7,5230,27
10,0.4,True,8,4990,4
10,0.4,True,9,5380,100
10,0.4,True,10,5030,11
10,0.4,True,11,5150,57
10,0.4,True,12,5270,6
10,0.4,True,13,5158,65
10,0.4,True,14,4590,6
10,0.4,True,15,4820,15
10,0.4,True,16,4440,1
10,0.4,True,17,5510,68
10,0.4,True,18,4860,7
10,0.4,True,19,5610,50
10,0.6,False,0,3695,0
10,0.6,False,1,3880,0
10,0.6,False,2,4279,0
10,0.6,False,3,3671,0
10,0.6,False,4,3916,0
10,0.6,False,5,3902,0
10,0.6,False,6,4246,0
10,0.6,False,7,4222,0
10,0.6,False,8,3855,0
10,0.6,False,9,4066,0
10,0.6,False,10,3714,0
10,0.6,False,11,3661,0
10,0.6,False,12,3896,0
10,0.6,False,13,3689,0
10,0.6,False,14,4055,0
10,0.6,False,15,3719,0
10,0.6,False,16,4033,0
10,0.6,False,17,4080,0
10,0.6,False,18,3821,0
10,0.6,False,19,3997,0
10,0.6,True,0,3290,13
10,0.6,True,1,3628,60
10,0.6,True,2,3580,53
10,0.6,True,3,3510,21
10,0.6,True,4,3470,41
10,0.6,True,5,3620,77
10,0.6,True,6,3708,111
10,0.6,True,7,3241,8
10,0.6,True,8,3350,36
10,0.6,True,9,3460,20
10,0.6,True,10,3500,70
10,0.6,True,11,3547,110
10,0.6,True,12,3310,22
10,0.6,True,13,3600,119
10,0.6,True,14,3543,56
10,0.6,True,15,3580,25
10,0.6,True,16,3190,12
10,0.6,True,17,3500,34
10,0.6,True,18,3610,93
10,0.6,True,19,3360,29
20,0.0,False,0,287908,0
20,0.0,False,1,153127,0
20,0.0,False,2,187366,0
20,0.0,False,3,139077,0
20,0.0,False,4,159781,0
20,0.0,False,5,137355,0
20,0.0,False,6,188997,0
20,0.0,False,7,217140,0
20,0.0,False,8,153315,0
20,0.0,False,9,180759,0
20,0.0,False,10,120999,0
20,0.0,False,11,135759,0
20,0.0,False,12,283756,0
20,0.0,False,13,142466,0
20,0.0,False,14,147372,0
20,0.0,False,15,170604,0
20,0.0,False,16,274708,0
20,0.0,False,17,177898,0
20,0.0,False,18,190425,0
20,0.0,False,19,201867,0
20,0.2,False,0,29687,0
20,0.2,False,1,27902,0
20,0.2,False,2,27987,0
20,0.2,False,3,22951,0
20,0.2,False,4,27013,0
20,0.2,False,5,25768,0
20,0.2,False,6,29531,0
20,0.2,False,7,31069,0
20,0.2,False,8,29073,0
20,0.2,False,9,26595,0
20,0.2,False,10,28278,0
20,0.2,False,11,27535,0
20,0.2,False,12,25115,0
20,0.2,False,13,27065,0
20,0.2,False,14,27790,0
20,0.2,False,15,23422,0
20,0.2,False,16,26755,0
20,0.2,False,17,31124,0
20,0.2,False,18,28329,0
20,0.2,False,19,27529,0
20,0.2,True,0,27050,30
20,0.2,True,1,25880,31
20,0.2,True,2,26930,128
20,0.2,True,3,28020,79
20,0.2,True,4,24860,27
20,0.2,True,5,22790,17
20,0.2,True,6,27260,83
20,0.2,True,7,26112,4
20,0.2,True,8,26830,49
20,0.2,True,9,26380,45
20,0.2,True,10,23810,8
20,0.2,True,11,26150,63
20,0.2,True,12,25460,47
