param_value,n_nodes,run_id,tau
0.0,10,0,16489
0.0,10,1,23849
0.0,10,2,17637
0.0,10,3,10771
0.0,10,4,15446
0.0,10,5,10328
0.0,10,6,12496
0.0,10,7,20820
0.0,10,8,17981
0.0,10,9,11678
0.0,10,10,16430
0.0,10,11,10405
0.0,10,12,15988
0.0,10,13,22263
0.0,10,14,14683
0.0,10,15,15885
0.0,10,16,20299
0.0,10,17,22286
0.0,10,18,15124
0.0,10,19,12133
0.0,10,20,38610
0.0,10,21,9203
0.0,10,22,15049
0.0,10,23,19196
0.0,10,24,17408
0.0,10,25,18847
0.0,10,26,19090
0.0,10,27,16283
0.0,10,28,8015
0.0,10,29,15532
0.0,10,30,14201
0.0,10,31,17046
0.0,10,32,23906
0.0,10,33,23071
0.0,10,34,20135
0.0,10,35,12566
0.0,10,36,18143
0.0,10,37,17235
0.0,10,38,18886
0.0,10,39,23830
0.0,10,40,14873
0.0,10,41,17226
0.0,10,42,15473
0.0,10,43,19281
0.0,10,44,19410
0.0,10,45,9991
0.0,10,46,15615
0.0,10,47,15641
0.0,10,48,11382
0.0,10,49,19699
0.0,10,50,15226
0.0,10,51,23840
0.0,10,52,13926
0.0,10,53,15653
0.0,10,54,9057
0.0,10,55,15498
0.0,10,56,15294
0.0,10,57,20803
0.0,10,58,8227
0.0,10,59,12595
0.0,10,60,10979
0.0,10,61,19817
0.0,10,62,19372
0.0,10,63,20412
0.0,10,64,13295
0.0,10,65,13502
0.0,10,66,18641
0.0,10,67,11926
0.0,10,68,13739
0.0,10,69,10982
0.0,10,70,19213
0.0,10,71,7307
0.0,10,72,19717
0.0,10,73,11038
0.0,10,74,17737
0.0,10,75,12041
0.0,10,76,16482
0.0,10,77,17282
0.0,10,78,13649
0.0,10,79,12741
0.0,10,80,12516
0.0,10,81,19757
0.0,10,82,10768
0.0,10,83,11786
0.0,10,84,13641
0.0,10,85,22800
0.0,10,86,13590
0.0,10,87,12062
0.0,10,88,8718
0.0,10,89,19564
0.0,10,90,23189
0.0,10,91,16864
0.0,10,92,13154
0.0,10,93,19966
0.0,10,94,32102
0.0,10,95,14042
0.0,10,96,22000
0.0,10,97,20760
0.0,10,98,11893
0.0,10,99,15498
0.0,10,100,9584
0.0,10,101,16607
0.0,10,102,16374
0.0,10,103,14478
0.0,10,104,20096
0.0,10,105,14445
0.0,10,106,18760
0.0,10,107,19550
0.0,10,108,13933
0.0,10,109,18373
0.0,10,110,14369
0.0,10,111,17873
0.0,10,112,15203
0.0,10,113,10638
0.0,10,114,15717
0.0,10,115,13960
0.0,10,116,21485
0.0,10,117,11957
0.0,10,118,22742
0.0,10,119,22518
0.0,10,120,15765
0.0,10,121,11881
0.0,10,122,24176
0.0,10,123,12593
0.0,10,124,20754
0.0,10,125,12166
0.0,10,126,12814
0.0,10,127,10154
0.0,10,128,9136
0.0,10,129,18266
0.0,10,130,11479
0.0,10,131,18001
0.0,10,132,11645
0.0,10,133,20053
0.0,10,134,17427
0.0,10,135,21354
0.0,10,136,17614
0.0,10,137,15760
0.0,10,138,20614
0.0,10,139,18971
0.0,10,140,20791
0.0,10,141,15026
0.0,10,142,15794
0.0,10,143,13378
0.0,10,144,12300
0.0,10,145,19455
0.0,10,146,14996
0.0,10,147,14417
0.0,10,148,13832
0.0,10,149,13752
0.05,10,0,10374
0.05,10,1,15543
0.05,10,2,12378
0.05,10,3,5932
0.05,10,4,8666
0.05,10,5,9930
0.05,10,6,10919
0.05,10,7,11247
0.05,10,8,13059
0.05,10,9,6856
0.05,10,10,10923
0.05,10,11,9965
0.05,10,12,9324
0.05,10,13,9651
0.05,10,14,10012
0.05,10,15,10062
0.05,10,16,10269
0.05,10,17,10982
0.05,10,18,8162
0.05,10,19,13642
0.05,10,20,14856
0.05,10,21,17611
0.05,10,22,11284
0.05,10,23,10135
0.05,10,24,10993
0.05,10,25,10184
0.05,10,26,9755
0.05,10,27,9055
0.05,10,28,10237
0.05,10,29,12508
0.05,10,30,7196
0.05,10,31,7126
0.05,10,32,10294
0.05,10,33,10775
0.05,10,34,12718
0.05,10,35,8857
0.05,10,36,14843
0.05,10,37,11690
0.05,10,38,8892
0.05,10,39,13806
0.05,10,40,8126
0.05,10,41,7782
0.05,10,42,11864
0.05,10,43,12589
0.05,10,44,11215
0.05,10,45,8988
0.05,10,46,14343
0.05,10,47,10682
0.05,10,48,17027
0.05,10,49,14036
0.05,10,50,7320
0.05,10,51,16049
0.05,10,52,10074
0.05,10,53,9044
0.05,10,54,11608
0.05,10,55,11603
0.05,10,56,8952
0.05,10,57,15820
0.05,10,58,8164
0.05,10,59,10447
0.05,10,60,11245
0.05,10,61,12071
0.05,10,62,9746
0.05,10,63,13219
0.05,10,64,6764
0.05,10,65,9551
0.05,10,66,10754
0.05,10,67,9636
0.05,10,68,15397
0.05,10,69,11104
0.05,10,70,15127
0.05,10,71,11702
0.05,10,72,9962
0.05,10,73,12276
0.05,10,74,11572
0.05,10,75,5987
0.05,10,76,11483
0.05,10,77,11578
0.05,10,78,9826
0.05,10,79,12109
0.05,10,80,11517
0.05,10,81,12202
0.05,10,82,7455
0.05,10,83,7136
0.05,10,84,10161
0.05,10,85,12559
0.05,10,86,12936
0.05,10,87,9333
0.05,10,88,13717
0.05,10,89,8376
0.05,10,90,10726
0.05,10,91,12228
0.05,10,92,8868
0.05,10,93,8289
0.05,10,94,11246
0.05,10,95,10971
0.05,10,96,9523
0.05,10,97,11819
0.05,10,98,8458
0.05,10,99,13761
0.05,10,100,9905
0.05,10,101,12414
0.05,10,102,11688
0.05,10,103,6772
0.05,10,104,11970
0.05,10,105,7919
0.05,10,106,13001
0.05,10,107,9779
0.05,10,108,14333
0.05,10,109,13311
0.05,10,110,8623
0.05,10,111,12202
0.05,10,112,11177
0.05,10,113,10053
0.05,10,114,11595
0.05,10,115,12471
0.05,10,116,11849
0.05,10,117,9735
0.05,10,118,8387
0.05,10,119,10902
0.05,10,120,13516
0.05,10,121,8009
0.05,10,122,12109
0.05,10,123,10228
0.05,10,124,9702
0.05,10,125,10815
0.05,10,126,8498
0.05,10,127,11298
0.05,10,128,8762
0.05,10,129,14652
0.05,10,130,10947
0.05,10,131,12291
0.05,10,132,9367
0.05,10,133,11871
0.05,10,134,12875
0.05,10,135,12483
0.05,10,136,10204
0.05,10,137,12444
0.05,10,138,12721
0.05,10,139,5724
0.05,10,140,10384
0.05,10,141,14121
0.05,10,142,14424
0.05,10,143,6518
0.05,10,144,14624
0.05,10,145,6338
0.05,10,146,14044
0.05,10,147,12304
0.05,10,148,10904
0.05,10,149,10946
0.1,10,0,8618
0.1,10,1,10012
0.1,10,2,6373
0.1,10,3,5229
0.1,10,4,6101
0.1,10,5,6734
0.1,10,6,6961
0.1,10,7,6534
0.1,10,8,10411
0.1,10,9,6369
0.1,10,10,4220
0.1,10,11,6619
0.1,10,12,6978
0.1,10,13,6874
0.1,10,14,6971
0.1,10,15,10354
0.1,10,16,7929
0.1,10,17,9088
0.1,10,18,6095
0.1,10,19,6593
0.1,10,20,8036
0.1,10,21,8325
0.1,10,22,8841
0.1,10,23,6255
0.1,10,24,7116
0.1,10,25,8968
0.1,10,26,7527
0.1,10,27,5730
0.1,10,28,8471
0.1,10,29,6871
0.1,10,30,6376
0.1,10,31,6417
0.1,10,32,6636
0.1,10,33,5869
0.1,10,34,7665
0.1,10,35,6904
0.1,10,36,9391
0.1,10,37,7599
