param_name,param_value,n_nodes,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs
alpha,0.0,10,16236.81,4572.76,7307.00,38610.00,15685.00,15505.01,16968.60,150
alpha,0.05,10,10933.62,2354.93,5724.00,17611.00,10934.50,10556.75,11310.49,150
alpha,0.1,10,7369.45,1311.04,3885.00,11734.00,7132.00,7159.64,7579.26,150
alpha,0.15,10,5491.33,780.59,2783.00,7348.00,5485.50,5366.41,5616.25,150
alpha,0.2,10,4387.04,598.98,2736.00,6021.00,4390.00,4291.18,4482.90,150
alpha,0.25,10,3714.40,472.18,2466.00,4628.00,3758.00,3638.84,3789.96,150
alpha,0.3,10,3238.28,373.85,1972.00,4000.00,3271.00,3178.45,3298.11,150
alpha,0.35,10,2833.27,305.38,1996.00,3528.00,2861.50,2784.40,2882.14,150
alpha,0.4,10,2512.97,265.15,1879.00,3083.00,2520.00,2470.54,2555.41,150
alpha,0.45,10,2279.49,223.02,1660.00,2888.00,2263.00,2243.80,2315.18,150
alpha,0.5,10,2081.56,199.51,1560.00,2566.00,2100.00,2049.63,2113.49,150
alpha,0.55,10,1902.50,171.56,1510.00,2339.00,1896.50,1875.04,1929.96,150
alpha,0.6,10,1744.43,155.22,1260.00,2116.00,1754.50,1719.59,1769.27,150
alpha,0.0,20,50510.65,11976.55,19794.00,82315.00,50585.00,48594.00,52427.29,150
alpha,0.05,20,28948.11,4787.65,14053.00,40965.00,29021.00,28181.92,29714.29,150
alpha,0.1,20,19312.88,2411.48,13690.00,24494.00,19354.50,18926.96,19698.80,150
alpha,0.15,20,14373.94,1577.35,10048.00,17967.00,14453.50,14121.51,14626.37,150
alpha,0.2,20,11551.07,1246.47,7808.00,14617.00,11571.50,11351.60,11750.55,150
alpha,0.25,20,9532.19,919.61,6933.00,11743.00,9562.50,9385.03,9679.36,150
alpha,0.3,20,8230.18,696.88,6320.00,9728.00,8312.00,8118.66,8341.70,150
alpha,0.35,20,7256.25,594.52,5343.00,8662.00,7251.00,7161.10,7351.39,150
alpha,0.4,20,6447.12,501.40,5019.00,7545.00,6500.50,6366.88,6527.36,150
alpha,0.45,20,5807.97,433.44,4327.00,6741.00,5829.00,5738.61,5877.34,150
alpha,0.5,20,5283.19,411.32,3551.00,6473.00,5326.00,5217.36,5349.01,150
alpha,0.55,20,4821.80,395.95,3534.00,5619.00,4869.00,4758.44,4885.16,150
alpha,0.6,20,4460.81,380.73,3574.00,5527.00,4503.50,4399.88,4521.74,150
alpha,0.0,30,99196.75,18893.39,47584.00,146382.00,97552.50,96173.18,102220.32,150
alpha,0.05,30,54566.62,7639.78,32303.00,78382.00,54641.00,53344.00,55789.24,150
alpha,0.1,30,35079.20,3864.38,26143.00,43170.00,34955.00,34460.77,35697.63,150
alpha,0.15,30,26224.08,2369.08,20298.00,32034.00,26379.50,25844.95,26603.21,150
alpha,0.2,30,20746.56,2022.30,14629.00,24953.00,20853.50,20422.92,21070.20,150
alpha,0.25,30,17394.21,1517.71,13772.00,21372.00,17499.00,17151.32,17637.09,150
alpha,0.3,30,14948.15,1173.84,11604.00,17704.00,14998.00,14760.30,15136.01,150
alpha,0.35,30,13063.64,929.37,10385.00,14997.00,13152.00,12914.91,13212.37,150
alpha,0.4,30,11673.11,920.65,8658.00,13540.00,11730.00,11525.78,11820.45,150
alpha,0.45,30,10504.89,764.47,8636.00,12013.00,10628.00,10382.55,10627.23,150
alpha,0.5,30,9576.63,639.16,7691.00,11032.00,9612.00,9474.35,9678.92,150
alpha,0.55,30,8821.45,599.76,6656.00,10099.00,8859.00,8725.47,8917.43,150
alpha,0.6,30,8133.70,539.70,5980.00,9633.00,8170.50,8047.33,8220.07,150
alpha,0.0,40,159114.01,27655.01,91421.00,237739.00,157537.50,154688.28,163539.73,150
alpha,0.05,40,86717.77,10225.62,50059.00,111379.00,86409.50,85081.33,88354.21,150
alpha,0.1,40,55588.28,5980.79,38475.00,68111.00,55682.00,54631.15,56545.41,150
alpha,0.15,40,41115.76,3805.01,28831.00,50157.00,41481.00,40506.83,41724.69,150
alpha,0.2,40,32619.83,2744.54,24753.00,38191.00,32810.00,32180.62,33059.05,150
alpha,0.25,40,27259.39,2177.37,21044.00,32607.00,27537.50,26910.93,27607.84,150
alpha,0.3,40,23459.57,1766.22,19012.00,27113.00,23634.50,23176.91,23742.22,150
alpha,0.35,40,20529.09,1447.17,15642.00,23664.00,20711.00,20297.50,20760.69,150
alpha,0.4,40,18413.13,1203.84,15277.00,21434.00,18596.50,18220.48,18605.79,150
alpha,0.45,40,16495.89,1100.67,13547.00,20051.00,16491.00,16319.74,16672.03,150
