param_value,n_nodes,run_id,tau,alpha
10,10,0,751,0.0
10,10,1,349,0.0
10,10,2,557,0.0
10,10,3,568,0.0
10,10,4,782,0.0
10,10,5,681,0.0
10,10,6,1016,0.0
10,10,7,433,0.0
10,10,8,292,0.0
10,10,9,408,0.0
10,10,10,324,0.0
10,10,11,672,0.0
10,10,12,444,0.0
10,10,13,795,0.0
10,10,14,1048,0.0
10,10,15,511,0.0
10,10,16,483,0.0
10,10,17,595,0.0
10,10,18,577,0.0
10,10,19,705,0.0
10,10,20,324,0.0
10,10,21,386,0.0
10,10,22,603,0.0
10,10,23,506,0.0
10,10,24,666,0.0
10,10,25,510,0.0
10,10,26,557,0.0
10,10,27,299,0.0
10,10,28,448,0.0
10,10,29,484,0.0
10,10,30,547,0.0
10,10,31,495,0.0
10,10,32,580,0.0
10,10,33,746,0.0
10,10,34,825,0.0
10,10,35,830,0.0
10,10,36,871,0.0
10,10,37,415,0.0
10,10,38,574,0.0
10,10,39,915,0.0
10,10,40,534,0.0
10,10,41,440,0.0
10,10,42,426,0.0
10,10,43,820,0.0
10,10,44,895,0.0
10,10,45,711,0.0
10,10,46,603,0.0
10,10,47,603,0.0
10,10,48,646,0.0
10,10,49,555,0.0
10,10,50,579,0.0
10,10,51,918,0.0
10,10,52,489,0.0
10,10,53,642,0.0
10,10,54,643,0.0
10,10,55,505,0.0
10,10,56,688,0.0
10,10,57,551,0.0
10,10,58,950,0.0
10,10,59,475,0.0
10,10,60,357,0.0
10,10,61,745,0.0
10,10,62,951,0.0
10,10,63,488,0.0
10,10,64,612,0.0
10,10,65,398,0.0
10,10,66,878,0.0
10,10,67,322,0.0
10,10,68,1131,0.0
10,10,69,554,0.0
10,10,70,659,0.0
10,10,71,636,0.0
10,10,72,908,0.0
10,10,73,987,0.0
10,10,74,679,0.0
10,10,75,431,0.0
10,10,76,705,0.0
10,10,77,582,0.0
10,10,78,1008,0.0
10,10,79,1014,0.0
10,10,80,722,0.0
10,10,81,444,0.0
10,10,82,787,0.0
10,10,83,845,0.0
10,10,84,469,0.0
10,10,85,928,0.0
10,10,86,694,0.0
10,10,87,439,0.0
10,10,88,513,0.0
10,10,89,532,0.0
10,10,90,1287,0.0
10,10,91,725,0.0
10,10,92,717,0.0
