param_name,param_value,n_nodes,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs,alpha
k,10,10,643.25,197.32,292.00,1287.00,610.00,611.68,674.83,150,0.0
k,30,10,6016.57,1886.34,2607.00,16000.00,5775.00,5714.69,6318.44,150,0.0
k,50,10,16236.81,4572.76,7307.00,38610.00,15685.00,15505.01,16968.60,150,0.0
k,100,10,67162.28,20324.41,28686.00,150144.00,65850.00,63909.70,70414.86,150,0.0
k,150,10,144847.41,41584.87,47453.00,315562.00,140729.00,138192.44,151502.37,150,0.0
k,200,10,256679.16,76456.84,89776.00,504870.00,245162.00,244443.52,268914.80,150,0.0
k,10,30,3552.59,807.51,1195.00,5695.00,3582.50,3423.36,3681.82,150,0.0
k,30,30,34068.45,6223.21,17638.00,48939.00,34116.00,33072.53,35064.37,150,0.0
k,50,30,99196.75,18893.39,47584.00,146382.00,97552.50,96173.18,102220.32,150,0.0
k,100,30,392223.28,69820.84,186405.00,571590.00,392413.50,381049.62,403396.94,150,0.0
k,150,30,892617.32,155795.41,509964.00,1294690.00,876212.00,867684.86,917549.78,150,0.0
k,200,30,1560167.79,300525.76,840084.00,2346094.00,1585450.00,1512073.65,1608261.93,150,0.0
k,10,60,11014.85,2241.74,3601.00,17507.00,11064.00,10656.10,11373.61,150,0.0
k,30,60,111898.01,18985.36,62484.00,162959.00,110552.00,108859.72,114936.30,150,0.0
k,50,60,310209.59,48834.72,196669.00,418729.00,308225.50,302394.41,318024.78,150,0.0
k,100,60,1256538.27,219600.45,730396.00,1798026.00,1261242.00,1221394.88,1291681.66,150,0.0
