param_name,param_value,n_nodes,n_edges,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs
alpha,0.0,500,12351,233304.58,86586.20,115246.00,362060.00,203010.00,184313.83,282295.34,12
alpha,0.05,500,12351,87403.75,13780.66,61874.00,109618.00,89445.00,79606.61,95200.89,12
alpha,0.1,500,12351,45262.08,6643.95,35202.00,58358.00,45170.50,41502.91,49021.25,12
alpha,0.15,500,12351,30318.83,3676.16,21696.00,34586.00,30013.50,28238.85,32398.82,12
alpha,0.2,500,12351,22888.33,3996.35,16880.00,31645.00,23207.50,20627.19,25149.48,12
alpha,0.25,500,12351,18256.00,2894.08,12463.00,22982.00,18310.00,16618.52,19893.48,12
alpha,0.3,500,12351,14916.25,2223.05,10347.00,18165.00,15448.00,13658.44,16174.06,12
alpha,0.35,500,12351,12791.92,1667.23,9654.00,14637.00,13184.50,11848.59,13735.24,12
alpha,0.4,500,12351,11257.00,1275.20,8860.00,12828.00,11728.00,10535.49,11978.51,12
alpha,0.45,500,12351,10024.08,1128.04,8355.00,11361.00,10162.00,9385.83,10662.33,12
alpha,0.5,500,12351,9271.25,827.44,7430.00,10553.00,9247.50,8803.08,9739.42,12
alpha,0.55,500,12351,8234.25,1019.98,6231.00,10081.00,8445.00,7657.14,8811.36,12
alpha,0.6,500,12351,7315.25,860.56,5746.00,8390.00,7507.50,6828.34,7802.16,12
