param_name,param_value,n_nodes,n_edges,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs
alpha,0.0,500,12351,587389.33,544077.99,85586.00,1949931.00,354495.50,279548.23,895230.44,12
alpha,0.05,500,12351,410456.75,308294.39,85381.00,1116191.00,361662.50,236022.78,584890.72,12
alpha,0.1,500,12351,291322.58,183839.94,64553.00,596943.00,246587.00,187305.35,395339.82,12
alpha,0.15,500,12351,182179.83,103817.13,57628.00,417304.00,152708.00,123439.76,240919.90,12
alpha,0.2,500,12351,114854.92,50589.05,48359.00,203776.00,112534.00,86231.46,143478.37,12
alpha,0.25,500,12351,94228.75,40547.51,47480.00,167664.00,78654.00,71286.84,117170.66,12
alpha,0.3,500,12351,84825.08,32394.90,50314.00,168222.00,77853.00,66495.94,103154.23,12
alpha,0.35,500,12351,68125.00,16570.15,46323.00,101790.00,68304.00,58749.55,77500.45,12
alpha,0.4,500,12351,61433.92,14021.71,43103.00,86401.00,61256.00,53500.39,69367.45,12
alpha,0.45,500,12351,55560.67,12221.91,36691.00,79592.00,56575.00,48645.47,62475.86,12
alpha,0.5,500,12351,51665.42,10585.18,34176.00,70248.00,50984.00,45676.29,57654.54,12
alpha,0.55,500,12351,45620.42,9017.43,31922.00,59832.00,45169.00,40518.32,50722.51,12
alpha,0.6,500,12351,41804.17,7750.35,34387.00,58770.00,39557.00,37418.99,46189.34,12
