n_nodes,alpha,run_id,tau
10,0.0,0,95907
10,0.0,1,88694
10,0.0,2,28686
10,0.0,3,51676
10,0.0,4,67848
10,0.0,5,84942
10,0.0,6,58876
10,0.0,7,72658
10,0.0,8,50169
10,0.0,9,60111
10,0.0,10,62007
10,0.0,11,42217
10,0.0,12,85080
10,0.0,13,75356
10,0.0,14,76335
10,0.0,15,65190
10,0.0,16,53716
10,0.0,17,77836
10,0.0,18,75333
10,0.0,19,83693
10,0.2,0,10418
10,0.2,1,11750
10,0.2,2,10710
10,0.2,3,11890
10,0.2,4,9897
10,0.2,5,10875
10,0.2,6,10305
10,0.2,7,10903
10,0.2,8,11445
10,0.2,9,7637
10,0.2,10,11533
10,0.2,11,10035
10,0.2,12,10683
10,0.2,13,10848
10,0.2,14,10932
10,0.2,15,11098
10,0.2,16,10006
10,0.2,17,10907
10,0.2,18,8825
10,0.2,19,11449
10,0.5,0,4309
10,0.5,1,4415
10,0.5,2,4910
10,0.5,3,4728
10,0.5,4,4490
10,0.5,5,5031
10,0.5,6,4854
10,0.5,7,5139
10,0.5,8,4784
10,0.5,9,4094
10,0.5,10,4373
10,0.5,11,4460
10,0.5,12,5010
10,0.5,13,4684
10,0.5,14,4506
10,0.5,15,4360
10,0.5,16,4689
10,0.5,17,4943
10,0.5,18,4421
10,0.5,19,4644
20,0.0,0,287908
20,0.0,1,153127
20,0.0,2,187366
20,0.0,3,139077
20,0.0,4,159781
20,0.0,5,137355
20,0.0,6,188997
20,0.0,7,217140
20,0.0,8,153315
20,0.0,9,180759
20,0.0,10,120999
20,0.0,11,135759
20,0.0,12,283756
20,0.0,13,142466
20,0.0,14,147372
20,0.0,15,170604
20,0.0,16,274708
20,0.0,17,177898
20,0.0,18,190425
20,0.0,19,201867
20,0.2,0,29687
20,0.2,1,27902
20,0.2,2,27987
20,0.2,3,22951
20,0.2,4,27013
20,0.2,5,25768
20,0.2,6,29531
20,0.2,7,31069
20,0.2,8,29073
20,0.2,9,26595
20,0.2,10,28278
20,0.2,11,27535
20,0.2,12,25115
20,0.2,13,27065
20,0.2,14,27790
20,0.2,15,23422
20,0.2,16,26755
20,0.2,17,31124
20,0.2,18,28329
20,0.2,19,27529
20,0.5,0,13014
20,0.5,1,11774
20,0.5,2,12302
20,0.5,3,11711
20,0.5,4,12121
20,0.5,5,11482
20,0.5,6,11224
20,0.5,7,11319
20,0.5,8,12401
20,0.5,9,11039
20,0.5,10,12402
20,0.5,11,12518
20,0.5,12,12700
20,0.5,13,11610
20,0.5,14,11862
20,0.5,15,11609
20,0.5,16,11897
20,0.5,17,12264
20,0.5,18,11423
20,0.5,19,12688
30,0.0,0,445091
30,0.0,1,469742
30,0.0,2,497608
30,0.0,3,262033
30,0.0,4,509914
30,0.0,5,357267
30,0.0,6,405515
30,0.0,7,449756
30,0.0,8,386688
30,0.0,9,325996
30,0.0,10,320755
30,0.0,11,433827
30,0.0,12,352960
30,0.0,13,429257
30,0.0,14,378238
30,0.0,15,355985
30,0.0,16,359740
30,0.0,17,395135
30,0.0,18,456987
30,0.0,19,447091
30,0.2,0,54049
30,0.2,1,49218
30,0.2,2,45153
30,0.2,3,50753
30,0.2,4,51082
30,0.2,5,50199
30,0.2,6,53010
30,0.2,7,47818
30,0.2,8,47507
30,0.2,9,52058
30,0.2,10,45548
30,0.2,11,48757
30,0.2,12,55061
30,0.2,13,52772
30,0.2,14,51309
30,0.2,15,45052
30,0.2,16,49405
30,0.2,17,47062
30,0.2,18,51373
30,0.2,19,49511
30,0.5,0,21119
30,0.5,1,20285
30,0.5,2,20638
30,0.5,3,21621
30,0.5,4,21615
30,0.5,5,20237
30,0.5,6,20979
30,0.5,7,23432
30,0.5,8,22152
30,0.5,9,22670
30,0.5,10,20427
30,0.5,11,24401
30,0.5,12,23044
30,0.5,13,21972
30,0.5,14,21622
30,0.5,15,22452
30,0.5,16,21762
30,0.5,17,20410
30,0.5,18,21473
30,0.5,19,22078
40,0.0,0,582964
40,0.0,1,595959
40,0.0,2,312420
40,0.0,3,702227
40,0.0,4,620698
40,0.0,5,625509
40,0.0,6,735165
40,0.0,7,699736
40,0.0,8,602861
40,0.0,9,757695
40,0.0,10,700374
