n_nodes,n_edges,n_merchants,alpha,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs,time_sec
10,45,3,0.0,67816.50,17037.60,28686.00,95907.00,70253.00,60349.44,75283.56,20,0.9
10,45,3,0.2,10607.30,1005.45,7637.00,11890.00,10861.50,10166.64,11047.96,20,0.3
10,45,3,0.5,4642.20,281.99,4094.00,5139.00,4664.00,4518.61,4765.79,20,0.2
20,190,4,0.0,182533.95,49573.69,120999.00,287908.00,174251.00,160807.32,204260.58,20,2.6
20,190,4,0.2,27525.90,2137.75,22951.00,31124.00,27662.50,26588.99,28462.81,20,0.5
20,190,4,0.5,11968.00,552.38,11039.00,13014.00,11879.50,11725.91,12210.09,20,0.3
30,435,5,0.0,401979.25,63850.72,262033.00,509914.00,400325.00,373995.44,429963.06,20,7.3
30,435,5,0.2,49834.85,2883.46,45052.00,55061.00,49855.00,48571.12,51098.58,20,1.1
30,435,5,0.5,21719.45,1112.35,20237.00,24401.00,21621.50,21231.94,22206.96,20,0.6
40,780,6,0.0,643621.90,114930.15,312420.00,854440.00,634951.00,593251.54,693992.26,20,16.8
40,780,6,0.2,77899.90,4231.66,65600.00,84378.00,78877.00,76045.29,79754.51,20,2.1
40,780,6,0.5,35011.70,1577.26,31375.00,36939.00,35286.00,34320.43,35702.97,20,1.1
50,1225,7,0.0,919463.65,169507.80,634681.00,1209596.00,909898.50,845173.58,993753.72,20,33.5
50,1225,7,0.2,114859.50,6260.55,98705.00,126269.00,114517.50,112115.69,117603.31,20,4.1
50,1225,7,0.5,49188.10,2674.67,43751.00,52839.00,49463.50,48015.87,50360.33,20,1.9
60,1770,7,0.0,1215134.35,185402.79,823811.00,1630061.00,1218216.50,1133878.00,1296390.70,20,57.2
60,1770,7,0.2,135545.95,7886.04,122065.00,152031.00,136966.00,132089.74,139002.16,20,6.3
60,1770,7,0.5,59628.70,3061.32,53927.00,64343.00,60169.50,58287.02,60970.38,20,3.1
70,2415,8,0.0,1798036.55,171293.42,1486125.00,2057179.00,1822037.00,1722963.90,1873109.20,20,109.5
70,2415,8,0.2,184126.70,10648.70,154542.00,201062.00,183897.50,179459.70,188793.70,20,11.7
70,2415,8,0.5,78507.25,4112.62,71799.00,84956.00,79392.50,76704.82,80309.68,20,5.2
80,3160,8,0.0,2125236.05,253866.67,1680448.00,2686716.00,2106878.50,2013974.08,2236498.02,20,181.8
80,3160,8,0.2,206844.65,10845.54,187696.00,228848.00,205661.50,202091.38,211597.92,20,17.9
80,3160,8,0.5,90964.15,3276.52,84207.00,96378.00,90184.50,89528.15,92400.15,20,8.5
90,4005,9,0.0,2607984.75,417533.07,1824122.00,3608742.00,2598926.50,2424992.82,2790976.68,20,315.3
90,4005,9,0.2,252641.75,16049.87,221836.00,279968.00,252274.50,245607.59,259675.91,20,26.6
90,4005,9,0.5,111943.15,4353.93,102176.00,119604.00,112458.50,110034.96,113851.34,20,12.2
100,4950,10,0.0,3242590.45,414523.91,2374231.00,4136891.00,3154787.50,3060917.34,3424263.56,20,1626.4
100,4950,10,0.2,319499.05,15170.36,284923.00,341810.00,317988.50,312850.35,326147.75,20,77.8
100,4950,10,0.5,136086.00,8287.95,116560.00,148031.00,137454.50,132453.65,139718.35,20,34.5
110,5995,10,0.0,3580196.85,531556.41,2496898.00,4448232.00,3639507.50,3347231.98,3813161.72,20,707.1
110,5995,10,0.2,360705.20,14404.19,333639.00,382326.00,361642.50,354392.29,367018.11,20,50.2
110,5995,10,0.5,152117.50,5805.51,139236.00,160721.00,153161.00,149573.12,154661.88,20,22.1
