param_name,param_value,n_nodes,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs
alpha,0.0,10,15360.83,4359.40,10328.00,23849.00,15938.00,12894.27,17827.39,12
alpha,0.05,10,10482.67,2603.35,5932.00,15543.00,10646.50,9009.68,11955.65,12
alpha,0.1,10,7015.08,1814.62,4220.00,10411.00,6576.50,5988.37,8041.80,12
alpha,0.15,10,5362.75,1182.44,3943.00,7348.00,5144.50,4693.72,6031.78,12
alpha,0.2,10,4396.17,358.19,3928.00,4996.00,4341.50,4193.50,4598.83,12
alpha,0.25,10,3694.92,357.12,3014.00,4290.00,3773.00,3492.86,3896.98,12
alpha,0.3,10,3352.58,286.67,2797.00,3761.00,3407.00,3190.39,3514.78,12
alpha,0.35,10,2873.33,237.04,2483.00,3272.00,2842.50,2739.22,3007.45,12
alpha,0.4,10,2580.50,212.27,2264.00,2989.00,2559.50,2460.40,2700.60,12
alpha,0.45,10,2369.33,203.54,2023.00,2663.00,2410.50,2254.17,2484.50,12
alpha,0.5,10,2071.42,203.20,1768.00,2510.00,2018.50,1956.45,2186.39,12
alpha,0.55,10,1871.42,140.21,1690.00,2180.00,1843.00,1792.09,1950.75,12
alpha,0.6,10,1697.33,188.50,1260.00,2007.00,1712.00,1590.68,1803.99,12
alpha,0.0,40,156372.42,28424.06,112905.00,196369.00,156562.50,140289.99,172454.84,12
alpha,0.05,40,79560.17,12717.59,50059.00,98348.00,81697.50,72364.51,86755.82,12
alpha,0.1,40,54497.17,6184.20,40230.00,63939.00,55630.50,50998.12,57996.21,12
alpha,0.15,40,41700.92,2638.93,37373.00,45306.00,41418.00,40207.80,43194.03,12
alpha,0.2,40,32774.17,2560.99,28244.00,37684.00,32290.00,31325.15,34223.18,12
alpha,0.25,40,28556.83,1287.64,26060.00,30686.00,28491.00,27828.28,29285.38,12
alpha,0.3,40,23594.17,1312.93,21587.00,26364.00,23830.50,22851.31,24337.03,12
alpha,0.35,40,20849.50,1305.06,18322.00,22832.00,21232.50,20111.09,21587.91,12
alpha,0.4,40,18666.33,1212.09,16690.00,20513.00,18858.00,17980.53,19352.14,12
alpha,0.45,40,16972.00,1056.32,15337.00,18537.00,17023.50,16374.33,17569.67,12
alpha,0.5,40,15136.33,812.08,13655.00,16317.00,15178.00,14676.86,15595.81,12
alpha,0.55,40,13783.92,617.04,12683.00,14712.00,13687.50,13434.80,14133.04,12
alpha,0.6,40,12808.42,600.49,11495.00,13729.00,13011.50,12468.66,13148.17,12
alpha,0.0,80,532184.08,21256.63,504196.00,562836.00,535046.00,520157.01,544211.16,12
alpha,0.05,80,253882.83,17219.04,224014.00,278517.00,256596.00,244140.24,263625.42,12
alpha,0.1,80,153306.42,11348.15,128327.00,168660.00,152171.50,146885.59,159727.24,12
alpha,0.15,80,108493.50,8972.01,95856.00,127738.00,107251.00,103417.11,113569.89,12
alpha,0.2,80,85613.58,5006.85,78529.00,98194.00,84744.00,82780.69,88446.47,12
alpha,0.25,80,69946.42,4358.74,60222.00,75613.00,70125.50,67480.23,72412.60,12
alpha,0.3,80,62256.17,3760.96,54693.00,67814.00,62745.00,60128.20,64384.13,12
