param_value,n_nodes,run_id,tau
0.0,10,0,16489
0.0,10,1,23849
0.0,10,2,17637
0.0,10,3,10771
0.0,10,4,15446
0.0,10,5,10328
0.0,10,6,12496
0.0,10,7,20820
0.0,10,8,17981
0.0,10,9,11678
0.0,10,10,16430
0.0,10,11,10405
0.05,10,0,10374
0.05,10,1,15543
0.05,10,2,12378
0.05,10,3,5932
0.05,10,4,8666
0.05,10,5,9930
0.05,10,6,10919
0.05,10,7,11247
0.05,10,8,13059
0.05,10,9,6856
0.05,10,10,10923
0.05,10,11,9965
0.1,10,0,8618
0.1,10,1,10012
0.1,10,2,6373
0.1,10,3,5229
0.1,10,4,6101
0.1,10,5,6734
0.1,10,6,6961
0.1,10,7,6534
0.1,10,8,10411
0.1,10,9,6369
0.1,10,10,4220
0.1,10,11,6619
0.15,10,0,7328
0.15,10,1,6873
0.15,10,2,5199
0.15,10,3,4477
0.15,10,4,5242
0.15,10,5,5200
0.15,10,6,5090
0.15,10,7,4924
0.15,10,8,7348
0.15,10,9,3943
0.15,10,10,4075
0.15,10,11,4654
0.2,10,0,4841
0.2,10,1,4996
0.2,10,2,4179
0.2,10,3,4717
0.2,10,4,4483
0.2,10,5,4029
0.2,10,6,4286
0.2,10,7,4738
0.2,10,8,3999
0.2,10,9,3928
0.2,10,10,4161
0.2,10,11,4397
0.25,10,0,3639
0.25,10,1,3904
0.25,10,2,3870
0.25,10,3,3476
0.25,10,4,3815
0.25,10,5,3800
0.25,10,6,4290
0.25,10,7,3982
0.25,10,8,3104
0.25,10,9,3014
0.25,10,10,3699
0.25,10,11,3746
0.3,10,0,2974
0.3,10,1,3487
0.3,10,2,3343
0.3,10,3,3198
0.3,10,4,3230
0.3,10,5,3564
0.3,10,6,3689
0.3,10,7,3761
0.3,10,8,2797
0.3,10,9,3191
0.3,10,10,3526
0.3,10,11,3471
0.35,10,0,2821
0.35,10,1,3070
0.35,10,2,2777
0.35,10,3,2906
0.35,10,4,2862
0.35,10,5,3272
0.35,10,6,2823
0.35,10,7,3072
0.35,10,8,2507
0.35,10,9,2483
0.35,10,10,3129
0.35,10,11,2758
0.4,10,0,2615
0.4,10,1,2756
0.4,10,2,2664
0.4,10,3,2435
0.4,10,4,2399
0.4,10,5,2989
0.4,10,6,2701
0.4,10,7,2802
0.4,10,8,2336
0.4,10,9,2264
0.4,10,10,2504
0.4,10,11,2501
0.45,10,0,2194
0.45,10,1,2663
0.45,10,2,2387
0.45,10,3,2434
0.45,10,4,2172
0.45,10,5,2600
0.45,10,6,2436
0.45,10,7,2575
0.45,10,8,2023
0.45,10,9,2173
0.45,10,10,2522
0.45,10,11,2253
0.5,10,0,2304
0.5,10,1,2146
0.5,10,2,2190
0.5,10,3,1916
0.5,10,4,1768
0.5,10,5,2510
0.5,10,6,2001
0.5,10,7,2142
0.5,10,8,2036
0.5,10,9,1996
0.5,10,10,2000
0.5,10,11,1848
0.55,10,0,2085
0.55,10,1,1916
0.55,10,2,1690
0.55,10,3,1786
0.55,10,4,1769
0.55,10,5,2180
0.55,10,6,1873
0.55,10,7,1813
0.55,10,8,1781
0.55,10,9,1914
0.55,10,10,1875
0.55,10,11,1775
0.6,10,0,1670
0.6,10,1,1690
0.6,10,2,1537
0.6,10,3,1688
0.6,10,4,1734
0.6,10,5,2007
0.6,10,6,1860
0.6,10,7,1260
0.6,10,8,1783
0.6,10,9,1774
0.6,10,10,1816
0.6,10,11,1549
0.0,40,0,147031
0.0,40,1,189846
0.0,40,2,168517
0.0,40,3,148940
0.0,40,4,126371
0.0,40,5,189053
0.0,40,6,164185
0.0,40,7,126363
0.0,40,8,176256
0.0,40,9,112905
0.0,40,10,130633
0.0,40,11,196369
0.05,40,0,81806
0.05,40,1,94027
0.05,40,2,69555
0.05,40,3,70186
0.05,40,4,75107
0.05,40,5,50059
0.05,40,6,98348
0.05,40,7,83714
0.05,40,8,78577
0.05,40,9,89847
0.05,40,10,81589
0.05,40,11,81907
0.1,40,0,56987
0.1,40,1,59633
0.1,40,2,54642
0.1,40,3,59149
0.1,40,4,50367
0.1,40,5,40230
0.1,40,6,56619
0.1,40,7,51196
0.1,40,8,51722
0.1,40,9,63939
0.1,40,10,50650
0.1,40,11,58832
0.15,40,0,40070
0.15,40,1,39392
0.15,40,2,45306
0.15,40,3,45185
0.15,40,4,40909
0.15,40,5,38701
0.15,40,6,37373
0.15,40,7,40794
0.15,40,8,42277
0.15,40,9,43519
0.15,40,10,41927
0.15,40,11,44958
0.2,40,0,28244
0.2,40,1,30364
0.2,40,2,34944
0.2,40,3,37684
0.2,40,4,32267
0.2,40,5,31497
0.2,40,6,32313
0.2,40,7,36423
0.2,40,8,31713
0.2,40,9,32113
0.2,40,10,32814
0.2,40,11,32914
0.25,40,0,28059
0.25,40,1,27890
0.25,40,2,29208
0.25,40,3,27372
0.25,40,4,29943
0.25,40,5,28896
0.25,40,6,29092
0.25,40,7,30686
0.25,40,8,26060
0.25,40,9,29783
0.25,40,10,27607
0.25,40,11,28086
0.3,40,0,21587
0.3,40,1,23964
0.3,40,2,24557
0.3,40,3,24336
0.3,40,4,22534
0.3,40,5,23950
0.3,40,6,26364
0.3,40,7,24417
0.3,40,8,22231
0.3,40,9,22300
0.3,40,10,23711
0.3,40,11,23179
0.35,40,0,21080
0.35,40,1,21589
0.35,40,2,20499
0.35,40,3,21385
0.35,40,4,19422
0.35,40,5,22079
0.35,40,6,22832
0.35,40,7,18322
0.35,40,8,19438
0.35,40,9,20175
0.35,40,10,21619
0.35,40,11,21754
0.4,40,0,19229
0.4,40,1,19967
0.4,40,2,19209
0.4,40,3,20513
0.4,40,4,17223
0.4,40,5,19949
0.4,40,6,17905
0.4,40,7,18354
0.4,40,8,16690
0.4,40,9,17241
0.4,40,10,18733
0.4,40,11,18983
0.45,40,0,17846
0.45,40,1,17983
0.45,40,2,17652
0.45,40,3,18537
0.45,40,4,17193
0.45,40,5,17952
0.45,40,6,15395
0.45,40,7,16214
0.45,40,8,16199
0.45,40,9,15337
0.45,40,10,16854
0.45,40,11,16502
0.5,40,0,15599
0.5,40,1,16317
0.5,40,2,15153
0.5,40,3,16087
0.5,40,4,14309
0.5,40,5,15835
0.5,40,6,13655
0.5,40,7,15203
0.5,40,8,15695
0.5,40,9,14533
0.5,40,10,14918
0.5,40,11,14332
0.55,40,0,14712
0.55,40,1,13696
0.55,40,2,13451
0.55,40,3,12683
0.55,40,4,13249
0.55,40,5,14231
0.55,40,6,13128
0.55,40,7,14149
0.55,40,8,14706
0.55,40,9,13670
0.55,40,10,13679
0.55,40,11,14053
0.6,40,0,12545
0.6,40,1,13729
0.6,40,2,13162
0.6,40,3,12279
0.6,40,4,12379
0.6,40,5,13158
0.6,40,6,12446
0.6,40,7,13258
0.6,40,8,13227
0.6,40,9,12908
0.6,40,10,11495
0.6,40,11,13115
0.0,80,0,539938
0.0,80,1,508353
0.0,80,2,517428
0.0,80,3,543123
0.0,80,4,538962
0.0,80,5,531130
0.0,80,6,504196
0.0,80,7,562836
0.0,80,8,554505
0.0,80,9,519981
0.0,80,10,561046
0.0,80,11,504711
0.05,80,0,224259
0.05,80,1,262919
0.05,80,2,247566
0.05,80,3,242405
0.05,80,4,254234
0.05,80,5,258958
0.05,80,6,224014
0.05,80,7,268989
0.05,80,8,278517
0.05,80,9,268765
0.05,80,10,250161
0.05,80,11,265807
0.1,80,0,168660
0.1,80,1,141817
