param_value,n_nodes,run_id,tau,alpha
10,10,0,751,0.0
10,10,1,349,0.0
10,10,2,557,0.0
10,10,3,568,0.0
10,10,4,782,0.0
10,10,5,681,0.0
10,10,6,1016,0.0
10,10,7,433,0.0
10,10,8,292,0.0
10,10,9,408,0.0
10,10,10,324,0.0
10,10,11,672,0.0
20,10,0,1894,0.0
20,10,1,1541,0.0
20,10,2,1777,0.0
20,10,3,2258,0.0
20,10,4,2380,0.0
20,10,5,2706,0.0
20,10,6,3126,0.0
20,10,7,1323,0.0
20,10,8,1032,0.0
20,10,9,3320,0.0
20,10,10,2311,0.0
20,10,11,2889,0.0
50,10,0,16489,0.0
50,10,1,23849,0.0
50,10,2,17637,0.0
50,10,3,10771,0.0
50,10,4,15446,0.0
50,10,5,10328,0.0
50,10,6,12496,0.0
50,10,7,20820,0.0
50,10,8,17981,0.0
50,10,9,11678,0.0
50,10,10,16430,0.0
50,10,11,10405,0.0
100,10,0,95907,0.0
100,10,1,88694,0.0
100,10,2,28686,0.0
100,10,3,51676,0.0
100,10,4,67848,0.0
100,10,5,84942,0.0
100,10,6,58876,0.0
100,10,7,72658,0.0
100,10,8,50169,0.0
100,10,9,60111,0.0
100,10,10,62007,0.0
100,10,11,42217,0.0
200,10,0,357114,0.0
200,10,1,323290,0.0
200,10,2,180922,0.0
200,10,3,308398,0.0
200,10,4,229395,0.0
200,10,5,301122,0.0
200,10,6,301968,0.0
200,10,7,504870,0.0
200,10,8,193776,0.0
200,10,9,277600,0.0
200,10,10,255307,0.0
200,10,11,158074,0.0
10,20,0,2212,0.0
10,20,1,2304,0.0
10,20,2,1732,0.0
10,20,3,1606,0.0
10,20,4,1327,0.0
10,20,5,1840,0.0
10,20,6,1217,0.0
10,20,7,1340,0.0
10,20,8,1269,0.0
10,20,9,1825,0.0
10,20,10,1000,0.0
10,20,11,1635,0.0
20,20,0,9329,0.0
20,20,1,10022,0.0
20,20,2,6108,0.0
20,20,3,8908,0.0
20,20,4,6382,0.0
20,20,5,7533,0.0
20,20,6,8150,0.0
20,20,7,9184,0.0
20,20,8,8180,0.0
20,20,9,9156,0.0
20,20,10,6982,0.0
20,20,11,11289,0.0
50,20,0,64653,0.0
50,20,1,55486,0.0
50,20,2,51554,0.0
