param_name,param_value,n_nodes,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs,alpha
k,10,10,569.42,219.75,292.00,1016.00,562.50,445.08,693.75,12,0.0
k,20,10,2213.08,721.67,1032.00,3320.00,2284.50,1804.76,2621.41,12,0.0
k,50,10,15360.83,4359.40,10328.00,23849.00,15938.00,12894.27,17827.39,12,0.0
k,100,10,63649.25,19690.37,28686.00,95907.00,61059.00,52508.38,74790.12,12,0.0
k,200,10,282653.00,93093.88,158074.00,504870.00,289361.00,229980.18,335325.82,12,0.0
k,10,20,1608.92,399.37,1000.00,2304.00,1620.50,1382.95,1834.88,12,0.0
k,20,20,8435.25,1521.62,6108.00,11289.00,8544.00,7574.31,9296.19,12,0.0
k,50,20,53296.42,10561.06,32683.00,68950.00,52668.00,47320.93,59271.90,12,0.0
k,100,20,171798.58,45852.40,120999.00,287908.00,156548.00,145855.15,197742.02,12,0.0
k,200,20,739979.75,210038.42,436383.00,1089448.00,735915.00,621139.33,858820.17,12,0.0
k,10,40,5645.33,1208.26,3579.00,7320.00,5839.50,4961.69,6328.97,12,0.0
k,20,40,24785.25,5359.28,12535.00,35361.00,23776.00,21752.95,27817.55,12,0.0
k,50,40,156372.42,28424.06,112905.00,196369.00,156562.50,140289.99,172454.84,12,0.0
k,100,40,624183.33,117840.36,312420.00,757695.00,623103.50,557508.87,690857.79,12,0.0
k,200,40,2528410.83,424189.46,1864346.00,3203556.00,2613051.50,2288403.05,2768418.61,12,0.0
k,10,60,11887.58,1492.09,9706.00,14482.00,11627.50,11043.35,12731.82,12,0.0
k,20,60,46279.83,7344.49,34201.00,54161.00,48800.00,42124.30,50435.37,12,0.0
k,50,60,303034.33,47208.36,219806.00,382050.00,307721.00,276323.69,329744.97,12,0.0
k,100,60,1247991.33,195834.35,823811.00,1630061.00,1220043.50,1137187.62,1358795.05,12,0.0
k,200,60,4937660.67,771125.48,3453544.00,6370822.00,4997391.50,4501355.36,5373965.98,12,0.0
k,10,80,19627.50,2998.80,14138.00,24346.00,19853.00,17930.77,21324.23,12,0.0
k,20,80,79540.42,10807.57,61710.00,99786.00,79115.50,73425.46,85655.37,12,0.0
k,50,80,532184.08,21256.63,504196.00,562836.00,535046.00,520157.01,544211.16,12,0.0
k,100,80,2092707.08,274635.10,1680448.00,2686716.00,2004304.50,1937317.65,2248096.52,12,0.0
k,200,80,8002011.08,1378152.90,5426390.00,9883496.00,7871085.50,7222247.68,8781774.49,12,0.0
k,10,100,25247.42,4110.85,18469.00,32523.00,25513.00,22921.49,27573.35,12,0.0
k,20,100,119340.42,14889.32,86839.00,137078.00,121056.00,110915.99,127764.84,12,0.0
k,50,100,813160.17,87396.85,674381.00,932565.00,827812.00,763710.75,862609.59,12,0.0
k,100,100,3237418.67,404646.68,2374231.00,3867109.00,3222112.00,3008468.25,3466369.08,12,0.0
k,200,100,12883523.75,2001131.21,10308413.00,15988749.00,12773633.00,11751277.18,14015770.32,12,0.0
k,10,10,393.50,107.99,174.00,546.00,363.50,332.40,454.60,12,0.25
k,20,10,972.17,187.88,720.00,1344.00,918.50,865.86,1078.47,12,0.25
k,50,10,3694.92,357.12,3014.00,4290.00,3773.00,3492.86,3896.98,12,0.25
k,100,10,8600.33,907.87,6655.00,10212.00,8727.50,8086.66,9114.01,12,0.25
k,200,10,19234.67,1370.63,16886.00,21107.00,19059.00,18459.16,20010.17,12,0.25
k,10,20,930.25,309.95,425.00,1355.00,836.50,754.88,1105.62,12,0.25
k,20,20,2957.00,460.13,2231.00,3620.00,2932.00,2696.66,3217.34,12,0.25
k,50,20,9393.17,821.23,8312.00,10839.00,9229.50,8928.51,9857.82,12,0.25
k,100,20,22580.58,1421.03,19472.00,24298.00,22898.00,21776.56,23384.61,12,0.25
k,200,20,50264.25,2481.30,44359.00,52998.00,50542.50,48860.32,51668.18,12,0.25
k,10,40,2893.50,352.96,2343.00,3446.00,2899.00,2693.79,3093.21,12,0.25
k,20,40,8296.58,776.22,7076.00,9889.00,8524.50,7857.39,8735.77,12,0.25
k,50,40,28556.83,1287.64,26060.00,30686.00,28491.00,27828.28,29285.38,12,0.25
k,100,40,65060.42,3053.24,58550.00,68952.00,66212.50,63332.89,66787.95,12,0.25
k,200,40,145242.92,6524.63,131416.00,157507.00,145993.00,141551.26,148934.58,12,0.25
k,10,60,4477.67,640.03,3398.00,5167.00,4623.00,4115.54,4839.80,12,0.25
k,20,60,13553.25,998.75,11497.00,14527.00,13909.00,12988.15,14118.35,12,0.25
k,50,60,48947.67,3781.58,40752.00,53674.00,49953.00,46808.04,51087.30,12,0.25
k,100,60,110573.50,6530.07,99070.00,122879.00,111336.50,106878.77,114268.23,12,0.25
k,200,60,256603.50,9329.07,239892.00,271283.00,256921.00,251325.08,261881.92,12,0.25
k,10,80,5980.75,1042.88,4210.00,8056.00,5985.00,5390.68,6570.82,12,0.25
k,20,80,21606.33,1833.91,18041.00,24257.00,22045.50,20568.70,22643.97,12,0.25
k,50,80,69946.42,4358.74,60222.00,75613.00,70125.50,67480.23,72412.60,12,0.25
k,100,80,171604.25,6077.86,158107.00,181314.00,172355.00,168165.37,175043.13,12,0.25
k,200,80,385444.83,9760.66,368540.00,397745.00,387146.00,379922.22,390967.45,12,0.25
k,10,100,9661.17,1809.62,6052.00,11709.00,9676.50,8637.28,10685.05,12,0.25
