param_value,n_nodes,run_id,tau
0.0,500,0,362209
0.0,500,1,281598
0.0,500,2,257180
0.0,500,3,211491
0.0,500,4,236683
0.0,500,5,185169
0.0,500,6,136122
0.0,500,7,329331
0.0,500,8,302091
0.0,500,9,294809
0.0,500,10,336705
0.0,500,11,303076
0.05,500,0,71660
0.05,500,1,79653
0.05,500,2,63010
0.05,500,3,81332
0.05,500,4,74689
0.05,500,5,101614
0.05,500,6,91461
0.05,500,7,94768
0.05,500,8,79583
0.05,500,9,110168
0.05,500,10,65230
0.05,500,11,112351
0.1,500,0,46048
0.1,500,1,40844
0.1,500,2,39835
0.1,500,3,37861
0.1,500,4,41516
0.1,500,5,47091
0.1,500,6,41505
0.1,500,7,53833
0.1,500,8,46854
0.1,500,9,48353
0.1,500,10,37449
0.1,500,11,58788
0.15,500,0,30348
0.15,500,1,28218
0.15,500,2,22112
0.15,500,3,26142
0.15,500,4,30547
0.15,500,5,36999
0.15,500,6,30539
0.15,500,7,34098
0.15,500,8,30975
0.15,500,9,32116
0.15,500,10,30133
0.15,500,11,33708
0.2,500,0,23673
0.2,500,1,23751
0.2,500,2,19889
0.2,500,3,20895
0.2,500,4,19936
0.2,500,5,25297
0.2,500,6,25396
0.2,500,7,21830
0.2,500,8,22484
0.2,500,9,20173
0.2,500,10,22791
0.2,500,11,22574
0.25,500,0,18928
0.25,500,1,18379
0.25,500,2,13618
0.25,500,3,17997
0.25,500,4,16138
0.25,500,5,19498
0.25,500,6,22158
0.25,500,7,14372
0.25,500,8,18398
0.25,500,9,17696
0.25,500,10,21567
0.25,500,11,17713
0.3,500,0,15756
0.3,500,1,14205
0.3,500,2,14093
0.3,500,3,14794
0.3,500,4,17215
0.3,500,5,18506
0.3,500,6,16973
0.3,500,7,14287
0.3,500,8,16816
0.3,500,9,14578
0.3,500,10,14327
0.3,500,11,14402
0.35,500,0,12745
0.35,500,1,12554
0.35,500,2,11516
0.35,500,3,12110
0.35,500,4,13324
0.35,500,5,16147
0.35,500,6,12862
0.35,500,7,11254
0.35,500,8,11935
0.35,500,9,10655
0.35,500,10,11450
0.35,500,11,11531
0.4,500,0,10933
0.4,500,1,11989
0.4,500,2,10649
0.4,500,3,11667
0.4,500,4,10453
0.4,500,5,12796
0.4,500,6,12429
0.4,500,7,10402
0.4,500,8,11270
0.4,500,9,9885
0.4,500,10,9621
0.4,500,11,9116
0.45,500,0,9484
0.45,500,1,10456
0.45,500,2,9232
0.45,500,3,11547
0.45,500,4,8943
0.45,500,5,13021
0.45,500,6,12165
0.45,500,7,10322
0.45,500,8,10579
0.45,500,9,9343
0.45,500,10,9589
0.45,500,11,8812
0.5,500,0,9216
0.5,500,1,8967
0.5,500,2,7595
0.5,500,3,11168
0.5,500,4,6759
0.5,500,5,12746
0.5,500,6,9378
0.5,500,7,10019
0.5,500,8,9608
0.5,500,9,8890
0.5,500,10,7676
0.5,500,11,8891
0.55,500,0,8541
0.55,500,1,7403
0.55,500,2,7407
0.55,500,3,8442
0.55,500,4,6430
0.55,500,5,10933
0.55,500,6,8849
0.55,500,7,8538
0.55,500,8,8309
0.55,500,9,8491
0.55,500,10,7217
0.55,500,11,8999
0.6,500,0,7734
0.6,500,1,7335
0.6,500,2,7268
0.6,500,3,8412
0.6,500,4,6469
0.6,500,5,9453
0.6,500,6,8038
0.6,500,7,8041
0.6,500,8,8124
0.6,500,9,6832
0.6,500,10,7133
0.6,500,11,7583
