param_value,n_nodes,run_id,tau,alpha
10,500,0,8821,0.0
10,500,1,9636,0.0
10,500,2,10001,0.0
10,500,3,14088,0.0
10,500,4,4804,0.0
10,500,5,9261,0.0
10,500,6,10605,0.0
10,500,7,9213,0.0
10,500,8,9108,0.0
10,500,9,8745,0.0
10,500,10,8687,0.0
10,500,11,6818,0.0
20,500,0,58067,0.0
20,500,1,32556,0.0
20,500,2,46074,0.0
20,500,3,46919,0.0
20,500,4,32539,0.0
20,500,5,28408,0.0
20,500,6,31062,0.0
20,500,7,16793,0.0
20,500,8,51016,0.0
20,500,9,45905,0.0
20,500,10,36645,0.0
20,500,11,49855,0.0
50,500,0,362209,0.0
50,500,1,281598,0.0
50,500,2,257180,0.0
50,500,3,211491,0.0
50,500,4,236683,0.0
50,500,5,185169,0.0
50,500,6,136122,0.0
50,500,7,329331,0.0
50,500,8,302091,0.0
50,500,9,294809,0.0
50,500,10,336705,0.0
50,500,11,303076,0.0
100,500,0,981081,0.0
100,500,1,1094806,0.0
100,500,2,849056,0.0
100,500,3,1209937,0.0
100,500,4,844023,0.0
100,500,5,636670,0.0
100,500,6,669556,0.0
100,500,7,995301,0.0
100,500,8,1466780,0.0
100,500,9,954644,0.0
100,500,10,893795,0.0
100,500,11,1024819,0.0
200,500,0,4483983,0.0
200,500,1,4596596,0.0
200,500,2,4205380,0.0
200,500,3,4696523,0.0
200,500,4,3834360,0.0
200,500,5,1995036,0.0
200,500,6,1550729,0.0
200,500,7,4817602,0.0
200,500,8,5781517,0.0
200,500,9,4289041,0.0
200,500,10,1226052,0.0
200,500,11,3111336,0.0
10,500,0,4622,0.25
10,500,1,1039,0.25
10,500,2,2926,0.25
10,500,3,1504,0.25
10,500,4,2242,0.25
10,500,5,2140,0.25
10,500,6,3827,0.25
10,500,7,3712,0.25
10,500,8,4081,0.25
10,500,9,2741,0.25
10,500,10,2595,0.25
10,500,11,3607,0.25
20,500,0,9094,0.25
20,500,1,7881,0.25
20,500,2,6499,0.25
20,500,3,5912,0.25
20,500,4,4066,0.25
20,500,5,9560,0.25
20,500,6,8290,0.25
20,500,7,5331,0.25
20,500,8,8389,0.25
20,500,9,6916,0.25
20,500,10,7270,0.25
20,500,11,8012,0.25
50,500,0,18928,0.25
50,500,1,18379,0.25
50,500,2,13618,0.25
50,500,3,17997,0.25
50,500,4,16138,0.25
50,500,5,19498,0.25
50,500,6,22158,0.25
50,500,7,14372,0.25
50,500,8,18398,0.25
50,500,9,17696,0.25
50,500,10,21567,0.25
50,500,11,17713,0.25
100,500,0,35974,0.25
100,500,1,36691,0.25
100,500,2,35056,0.25
100,500,3,33564,0.25
100,500,4,37797,0.25
100,500,5,41461,0.25
100,500,6,37164,0.25
100,500,7,36522,0.25
100,500,8,39004,0.25
100,500,9,35986,0.25
100,500,10,38864,0.25
100,500,11,35349,0.25
200,500,0,68594,0.25
200,500,1,71266,0.25
200,500,2,62105,0.25
200,500,3,82915,0.25
200,500,4,76463,0.25
200,500,5,75840,0.25
200,500,6,75231,0.25
200,500,7,71853,0.25
200,500,8,77424,0.25
200,500,9,76308,0.25
200,500,10,82959,0.25
200,500,11,75079,0.25
10,500,0,1047,0.5
10,500,1,993,0.5
10,500,2,1534,0.5
10,500,3,1061,0.5
10,500,4,1011,0.5
10,500,5,1483,0.5
10,500,6,1174,0.5
10,500,7,1353,0.5
10,500,8,1169,0.5
10,500,9,1860,0.5
10,500,10,1489,0.5
10,500,11,1830,0.5
20,500,0,2798,0.5
20,500,1,2325,0.5
20,500,2,3419,0.5
20,500,3,2669,0.5
20,500,4,2746,0.5
20,500,5,4134,0.5
20,500,6,3409,0.5
20,500,7,2914,0.5
20,500,8,3868,0.5
20,500,9,3928,0.5
20,500,10,2410,0.5
20,500,11,3127,0.5
50,500,0,9216,0.5
50,500,1,8967,0.5
50,500,2,7595,0.5
50,500,3,11168,0.5
50,500,4,6759,0.5
50,500,5,12746,0.5
50,500,6,9378,0.5
50,500,7,10019,0.5
50,500,8,9608,0.5
50,500,9,8890,0.5
50,500,10,7676,0.5
50,500,11,8891,0.5
100,500,0,17117,0.5
100,500,1,18254,0.5
100,500,2,16875,0.5
100,500,3,19668,0.5
100,500,4,17273,0.5
100,500,5,24933,0.5
100,500,6,19395,0.5
100,500,7,17951,0.5
100,500,8,17565,0.5
100,500,9,16410,0.5
100,500,10,17622,0.5
100,500,11,17607,0.5
200,500,0,37228,0.5
200,500,1,37966,0.5
200,500,2,34924,0.5
200,500,3,35807,0.5
200,500,4,37221,0.5
200,500,5,45974,0.5
200,500,6,35664,0.5
200,500,7,36917,0.5
200,500,8,36137,0.5
200,500,9,35827,0.5
200,500,10,37596,0.5
200,500,11,37014,0.5
