param_name,param_value,n_nodes,n_edges,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs,alpha
k,10,500,12351,9148.92,2180.32,4804.00,14088.00,9160.50,7915.28,10382.55,12,0.0
k,20,500,12351,39653.25,11825.42,16793.00,58067.00,41275.00,32962.39,46344.11,12,0.0
k,50,500,12351,269705.33,66852.85,136122.00,362209.00,288203.50,231879.78,307530.89,12,0.0
k,100,500,12351,968372.33,225950.33,636670.00,1466780.00,967862.50,840528.90,1096215.77,12,0.0
k,200,500,12351,3715679.58,1433495.78,1226052.00,5781517.00,4247210.50,2904602.99,4526756.18,12,0.0
k,10,500,12351,2919.67,1083.58,1039.00,4622.00,2833.50,2306.57,3532.76,12,0.25
k,20,500,12351,7268.33,1606.15,4066.00,9560.00,7575.50,6359.57,8177.10,12,0.25
k,50,500,12351,18038.50,2511.94,13618.00,22158.00,18188.00,16617.24,19459.76,12,0.25
k,100,500,12351,36952.67,2105.02,33564.00,41461.00,36606.50,35761.64,38143.69,12,0.25
k,200,500,12351,74669.75,5770.93,62105.00,82959.00,75535.50,71404.54,77934.96,12,0.25
k,10,500,12351,1333.67,307.42,993.00,1860.00,1263.50,1159.72,1507.61,12,0.5
k,20,500,12351,3145.58,605.37,2325.00,4134.00,3020.50,2803.06,3488.10,12,0.5
k,50,500,12351,9242.75,1606.73,6759.00,12746.00,9091.50,8333.66,10151.84,12,0.5
k,100,500,12351,18389.17,2269.02,16410.00,24933.00,17614.50,17105.35,19672.98,12,0.5
k,200,500,12351,37356.25,2861.10,34924.00,45974.00,36965.50,35737.43,38975.07,12,0.5
