param_value,n_nodes,run_id,tau
0.0,500,0,306291
0.0,500,1,277313
0.0,500,2,199738
0.0,500,3,186546
0.0,500,4,201561
0.0,500,5,135376
0.0,500,6,359969
0.0,500,7,308561
0.0,500,8,204459
0.0,500,9,142535
0.0,500,10,362060
0.0,500,11,115246
0.05,500,0,109618
0.05,500,1,87921
0.05,500,2,77375
0.05,500,3,61874
0.05,500,4,99740
0.05,500,5,90969
0.05,500,6,92794
0.05,500,7,72776
0.05,500,8,73612
0.05,500,9,85420
0.05,500,10,98667
0.05,500,11,98079
0.1,500,0,51949
0.1,500,1,49421
0.1,500,2,38016
0.1,500,3,43653
0.1,500,4,49051
0.1,500,5,58358
0.1,500,6,40241
0.1,500,7,38643
0.1,500,8,46456
0.1,500,9,43885
0.1,500,10,35202
0.1,500,11,48270
0.15,500,0,34489
0.15,500,1,28146
0.15,500,2,21696
0.15,500,3,34226
0.15,500,4,34586
0.15,500,5,30109
0.15,500,6,31349
0.15,500,7,28705
0.15,500,8,29354
0.15,500,9,29918
0.15,500,10,28004
0.15,500,11,33244
0.2,500,0,25558
0.2,500,1,19543
0.2,500,2,20822
0.2,500,3,26443
0.2,500,4,31645
0.2,500,5,23712
0.2,500,6,24198
0.2,500,7,22703
0.2,500,8,18269
0.2,500,9,21118
0.2,500,10,16880
0.2,500,11,23769
0.25,500,0,22982
0.25,500,1,17428
0.25,500,2,18064
0.25,500,3,20472
0.25,500,4,18221
0.25,500,5,21451
0.25,500,6,20059
0.25,500,7,14895
0.25,500,8,15892
0.25,500,9,18746
0.25,500,10,12463
0.25,500,11,18399
0.3,500,0,18165
0.3,500,1,13846
0.3,500,2,14467
0.3,500,3,17030
0.3,500,4,16810
0.3,500,5,15661
0.3,500,6,15235
0.3,500,7,11887
0.3,500,8,13661
0.3,500,9,15870
0.3,500,10,10347
0.3,500,11,16016
0.35,500,0,14637
0.35,500,1,12171
0.35,500,2,12635
0.35,500,3,13883
0.35,500,4,14157
0.35,500,5,13946
0.35,500,6,12574
0.35,500,7,10134
0.35,500,8,11497
0.35,500,9,14481
0.35,500,10,9654
0.35,500,11,13734
0.4,500,0,12026
0.4,500,1,11705
0.4,500,2,11323
0.4,500,3,11825
0.4,500,4,11364
0.4,500,5,12828
0.4,500,6,11930
0.4,500,7,9437
0.4,500,8,9531
0.4,500,9,11751
0.4,500,10,8860
0.4,500,11,12504
0.45,500,0,10904
0.45,500,1,9770
0.45,500,2,10796
0.45,500,3,10554
0.45,500,4,9366
0.45,500,5,11361
0.45,500,6,11211
0.45,500,7,8877
0.45,500,8,8399
0.45,500,9,9426
0.45,500,10,8355
0.45,500,11,11270
0.5,500,0,9947
0.5,500,1,8937
0.5,500,2,10553
0.5,500,3,9484
0.5,500,4,8903
0.5,500,5,9810
0.5,500,6,8663
0.5,500,7,8838
0.5,500,8,7430
0.5,500,9,9400
0.5,500,10,9095
0.5,500,11,10195
0.55,500,0,8349
0.55,500,1,7494
0.55,500,2,8844
0.55,500,3,8993
0.55,500,4,7052
0.55,500,5,8839
0.55,500,6,8541
0.55,500,7,8577
0.55,500,8,6231
0.55,500,9,7505
0.55,500,10,8305
0.55,500,11,10081
0.6,500,0,8123
0.6,500,1,6869
0.6,500,2,7664
0.6,500,3,8390
0.6,500,4,5906
0.6,500,5,7582
0.6,500,6,7433
0.6,500,7,7231
0.6,500,8,5746
0.6,500,9,6758
0.6,500,10,7801
0.6,500,11,8280
