param_value,n_nodes,run_id,tau,alpha
10,500,0,8199,0.0
10,500,1,9377,0.0
10,500,2,2857,0.0
10,500,3,14959,0.0
10,500,4,7404,0.0
10,500,5,12882,0.0
10,500,6,3609,0.0
10,500,7,13134,0.0
10,500,8,9938,0.0
10,500,9,13184,0.0
10,500,10,6957,0.0
10,500,11,10447,0.0
20,500,0,75661,0.0
20,500,1,33550,0.0
20,500,2,18388,0.0
20,500,3,39889,0.0
20,500,4,29272,0.0
20,500,5,60268,0.0
20,500,6,29127,0.0
20,500,7,39355,0.0
20,500,8,20061,0.0
20,500,9,36141,0.0
20,500,10,26469,0.0
20,500,11,26173,0.0
50,500,0,306291,0.0
50,500,1,277313,0.0
50,500,2,199738,0.0
50,500,3,186546,0.0
50,500,4,201561,0.0
50,500,5,135376,0.0
50,500,6,359969,0.0
50,500,7,308561,0.0
50,500,8,204459,0.0
50,500,9,142535,0.0
50,500,10,362060,0.0
50,500,11,115246,0.0
100,500,0,932591,0.0
100,500,1,649897,0.0
100,500,2,1325482,0.0
100,500,3,798993,0.0
100,500,4,1139053,0.0
100,500,5,479744,0.0
100,500,6,723378,0.0
100,500,7,1399408,0.0
100,500,8,1108834,0.0
100,500,9,776680,0.0
100,500,10,1259806,0.0
100,500,11,1097235,0.0
200,500,0,3181419,0.0
200,500,1,4737813,0.0
200,500,2,4568348,0.0
200,500,3,4195957,0.0
200,500,4,4271759,0.0
200,500,5,3911749,0.0
200,500,6,3445582,0.0
200,500,7,3850285,0.0
200,500,8,2170995,0.0
200,500,9,3528093,0.0
200,500,10,4249112,0.0
200,500,11,3325193,0.0
10,500,0,4237,0.25
10,500,1,2932,0.25
10,500,2,3966,0.25
10,500,3,3536,0.25
10,500,4,2942,0.25
10,500,5,2358,0.25
10,500,6,2709,0.25
10,500,7,2300,0.25
10,500,8,2215,0.25
10,500,9,2580,0.25
10,500,10,2552,0.25
10,500,11,3581,0.25
20,500,0,10332,0.25
20,500,1,5660,0.25
20,500,2,8263,0.25
20,500,3,7922,0.25
20,500,4,8194,0.25
20,500,5,5940,0.25
20,500,6,7306,0.25
20,500,7,5605,0.25
20,500,8,4019,0.25
20,500,9,6962,0.25
20,500,10,6398,0.25
20,500,11,8294,0.25
50,500,0,22982,0.25
50,500,1,17428,0.25
50,500,2,18064,0.25
50,500,3,20472,0.25
50,500,4,18221,0.25
50,500,5,21451,0.25
50,500,6,20059,0.25
50,500,7,14895,0.25
50,500,8,15892,0.25
50,500,9,18746,0.25
50,500,10,12463,0.25
50,500,11,18399,0.25
100,500,0,36579,0.25
100,500,1,35799,0.25
100,500,2,35385,0.25
100,500,3,36953,0.25
100,500,4,42673,0.25
100,500,5,42434,0.25
100,500,6,36737,0.25
100,500,7,34549,0.25
100,500,8,32990,0.25
100,500,9,38275,0.25
100,500,10,29367,0.25
100,500,11,35288,0.25
200,500,0,85218,0.25
200,500,1,79014,0.25
200,500,2,78550,0.25
200,500,3,68656,0.25
200,500,4,76421,0.25
200,500,5,82913,0.25
200,500,6,70500,0.25
200,500,7,70069,0.25
200,500,8,70467,0.25
200,500,9,72709,0.25
200,500,10,66460,0.25
200,500,11,77144,0.25
10,500,0,897,0.5
10,500,1,731,0.5
10,500,2,1667,0.5
10,500,3,1681,0.5
10,500,4,788,0.5
10,500,5,1725,0.5
10,500,6,1759,0.5
10,500,7,1835,0.5
10,500,8,858,0.5
10,500,9,1507,0.5
10,500,10,1605,0.5
10,500,11,1591,0.5
20,500,0,3498,0.5
20,500,1,2608,0.5
20,500,2,4657,0.5
20,500,3,3479,0.5
20,500,4,1910,0.5
20,500,5,4232,0.5
20,500,6,3626,0.5
20,500,7,3267,0.5
20,500,8,2289,0.5
20,500,9,3220,0.5
20,500,10,2810,0.5
20,500,11,4471,0.5
50,500,0,9947,0.5
50,500,1,8937,0.5
50,500,2,10553,0.5
50,500,3,9484,0.5
50,500,4,8903,0.5
50,500,5,9810,0.5
50,500,6,8663,0.5
50,500,7,8838,0.5
50,500,8,7430,0.5
50,500,9,9400,0.5
50,500,10,9095,0.5
50,500,11,10195,0.5
100,500,0,21266,0.5
100,500,1,17284,0.5
100,500,2,20919,0.5
100,500,3,18790,0.5
100,500,4,17787,0.5
100,500,5,19442,0.5
100,500,6,18178,0.5
100,500,7,17813,0.5
100,500,8,15479,0.5
100,500,9,17218,0.5
100,500,10,18384,0.5
100,500,11,19419,0.5
200,500,0,38283,0.5
200,500,1,35421,0.5
200,500,2,39654,0.5
200,500,3,38209,0.5
200,500,4,39507,0.5
200,500,5,38658,0.5
200,500,6,35699,0.5
200,500,7,36258,0.5
200,500,8,34291,0.5
200,500,9,34972,0.5
200,500,10,39052,0.5
200,500,11,34546,0.5
