param_value,n_nodes,run_id,tau
0.0,500,0,274542
0.0,500,1,85586
0.0,500,2,434449
0.0,500,3,1949931
0.0,500,4,194969
0.0,500,5,696215
0.0,500,6,1006427
0.0,500,7,247114
0.0,500,8,237508
0.0,500,9,832811
0.0,500,10,106893
0.0,500,11,982227
0.05,500,0,345474
0.05,500,1,554513
0.05,500,2,1116191
0.05,500,3,85381
0.05,500,4,124243
0.05,500,5,377851
0.05,500,6,406035
0.05,500,7,797585
0.05,500,8,193785
0.05,500,9,238693
0.05,500,10,564601
0.05,500,11,121129
0.1,500,0,596943
0.1,500,1,554884
0.1,500,2,287301
0.1,500,3,64553
0.1,500,4,78296
0.1,500,5,281052
0.1,500,6,212122
0.1,500,7,422609
0.1,500,8,184068
0.1,500,9,201804
0.1,500,10,491200
0.1,500,11,121039
0.15,500,0,417304
0.15,500,1,273139
0.15,500,2,150718
0.15,500,3,57628
0.15,500,4,63840
0.15,500,5,180652
0.15,500,6,194668
0.15,500,7,142335
0.15,500,8,145892
0.15,500,9,154698
0.15,500,10,302237
0.15,500,11,103047
0.2,500,0,70687
0.2,500,1,146355
0.2,500,2,131735
0.2,500,3,48359
0.2,500,4,51023
0.2,500,5,167397
0.2,500,6,163721
0.2,500,7,139754
0.2,500,8,82579
0.2,500,9,93333
0.2,500,10,203776
0.2,500,11,79540
0.25,500,0,56973
0.25,500,1,143977
0.25,500,2,72303
0.25,500,3,47480
0.25,500,4,53521
0.25,500,5,142136
0.25,500,6,127443
0.25,500,7,92554
0.25,500,8,77475
0.25,500,9,79833
0.25,500,10,167664
0.25,500,11,69386
0.3,500,0,66546
0.3,500,1,105353
0.3,500,2,65854
0.3,500,3,57809
0.3,500,4,50314
0.3,500,5,79089
0.3,500,6,119272
0.3,500,7,79150
0.3,500,8,78447
0.3,500,9,77259
0.3,500,10,168222
0.3,500,11,70586
0.35,500,0,69895
0.35,500,1,86842
0.35,500,2,47625
0.35,500,3,46874
0.35,500,4,46323
0.35,500,5,72653
0.35,500,6,79415
0.35,500,7,67499
0.35,500,8,61976
0.35,500,9,68482
0.35,500,10,101790
0.35,500,11,68126
0.4,500,0,47785
0.4,500,1,76592
0.4,500,2,43103
0.4,500,3,44762
0.4,500,4,45958
0.4,500,5,70137
0.4,500,6,74736
0.4,500,7,61439
0.4,500,8,59945
0.4,500,9,61073
0.4,500,10,86401
0.4,500,11,65276
0.45,500,0,44881
0.45,500,1,71142
0.45,500,2,36691
0.45,500,3,42384
0.45,500,4,45785
0.45,500,5,57680
0.45,500,6,79592
0.45,500,7,55678
0.45,500,8,57472
0.45,500,9,61229
0.45,500,10,52708
0.45,500,11,61486
0.5,500,0,44403
0.5,500,1,70248
0.5,500,2,34176
0.5,500,3,44022
0.5,500,4,41827
0.5,500,5,55819
0.5,500,6,64983
0.5,500,7,57122
0.5,500,8,44874
0.5,500,9,60543
0.5,500,10,47585
0.5,500,11,54383
0.55,500,0,37488
0.55,500,1,58369
0.55,500,2,34312
0.55,500,3,31922
0.55,500,4,40814
0.55,500,5,43459
0.55,500,6,59832
0.55,500,7,55231
0.55,500,8,42314
0.55,500,9,48574
0.55,500,10,46879
0.55,500,11,48251
0.6,500,0,36494
0.6,500,1,55401
0.6,500,2,34387
0.6,500,3,35807
0.6,500,4,40116
0.6,500,5,37635
0.6,500,6,58770
0.6,500,7,36972
0.6,500,8,39954
0.6,500,9,41325
0.6,500,10,39160
0.6,500,11,45629
