param_value,n_nodes,run_id,tau,alpha
10,500,0,33464,0.0
10,500,1,20693,0.0
10,500,2,24178,0.0
10,500,3,8375,0.0
10,500,4,32275,0.0
10,500,5,5426,0.0
10,500,6,39162,0.0
10,500,7,12101,0.0
10,500,8,36276,0.0
10,500,9,56834,0.0
10,500,10,19118,0.0
10,500,11,36184,0.0
20,500,0,167838,0.0
20,500,1,32085,0.0
20,500,2,283054,0.0
20,500,3,27732,0.0
20,500,4,41051,0.0
20,500,5,14166,0.0
20,500,6,89991,0.0
20,500,7,177603,0.0
20,500,8,194377,0.0
20,500,9,113874,0.0
20,500,10,56945,0.0
20,500,11,113517,0.0
50,500,0,274542,0.0
50,500,1,85586,0.0
50,500,2,434449,0.0
50,500,3,1949931,0.0
50,500,4,194969,0.0
50,500,5,696215,0.0
50,500,6,1006427,0.0
50,500,7,247114,0.0
50,500,8,237508,0.0
50,500,9,832811,0.0
50,500,10,106893,0.0
50,500,11,982227,0.0
100,500,0,763532,0.0
100,500,1,1242686,0.0
100,500,2,1054201,0.0
100,500,3,6567281,0.0
100,500,4,2512947,0.0
100,500,5,2555693,0.0
100,500,6,2366921,0.0
100,500,7,570323,0.0
100,500,8,1853905,0.0
100,500,9,1110743,0.0
100,500,10,1585643,0.0
100,500,11,1391996,0.0
200,500,0,9057796,0.0
200,500,1,16480173,0.0
200,500,2,10096043,0.0
200,500,3,8999136,0.0
200,500,4,34165380,0.0
200,500,5,3624103,0.0
200,500,6,5301412,0.0
200,500,7,10485067,0.0
200,500,8,25191615,0.0
200,500,9,1809946,0.0
200,500,10,15743843,0.0
200,500,11,2839282,0.0
10,500,0,10886,0.25
10,500,1,58987,0.25
10,500,2,17429,0.25
10,500,3,8461,0.25
10,500,4,12769,0.25
10,500,5,24304,0.25
10,500,6,10443,0.25
10,500,7,22496,0.25
10,500,8,19767,0.25
10,500,9,12387,0.25
10,500,10,35526,0.25
10,500,11,9530,0.25
20,500,0,16129,0.25
20,500,1,93227,0.25
20,500,2,32071,0.25
20,500,3,21968,0.25
20,500,4,24624,0.25
20,500,5,54645,0.25
20,500,6,67640,0.25
20,500,7,28424,0.25
20,500,8,33757,0.25
20,500,9,23829,0.25
20,500,10,43667,0.25
20,500,11,31055,0.25
50,500,0,56973,0.25
50,500,1,143977,0.25
50,500,2,72303,0.25
50,500,3,47480,0.25
50,500,4,53521,0.25
50,500,5,142136,0.25
50,500,6,127443,0.25
50,500,7,92554,0.25
50,500,8,77475,0.25
50,500,9,79833,0.25
50,500,10,167664,0.25
50,500,11,69386,0.25
100,500,0,333142,0.25
100,500,1,285234,0.25
100,500,2,162489,0.25
100,500,3,102119,0.25
100,500,4,108255,0.25
100,500,5,235520,0.25
100,500,6,194834,0.25
100,500,7,239248,0.25
100,500,8,164643,0.25
100,500,9,199271,0.25
100,500,10,243958,0.25
100,500,11,163697,0.25
200,500,0,551039,0.25
200,500,1,455569,0.25
200,500,2,297718,0.25
200,500,3,322171,0.25
200,500,4,204697,0.25
200,500,5,373320,0.25
200,500,6,396369,0.25
200,500,7,551612,0.25
200,500,8,294496,0.25
200,500,9,395551,0.25
200,500,10,415203,0.25
200,500,11,432985,0.25
10,500,0,10491,0.5
10,500,1,6365,0.5
10,500,2,4108,0.5
10,500,3,6699,0.5
10,500,4,10240,0.5
10,500,5,7846,0.5
10,500,6,30620,0.5
10,500,7,13127,0.5
10,500,8,19382,0.5
10,500,9,11614,0.5
10,500,10,14664,0.5
10,500,11,3963,0.5
20,500,0,13974,0.5
20,500,1,28505,0.5
20,500,2,8350,0.5
20,500,3,19006,0.5
20,500,4,17838,0.5
20,500,5,17766,0.5
20,500,6,38131,0.5
20,500,7,26284,0.5
20,500,8,24438,0.5
20,500,9,22133,0.5
20,500,10,27693,0.5
20,500,11,31150,0.5
50,500,0,44403,0.5
50,500,1,70248,0.5
50,500,2,34176,0.5
50,500,3,44022,0.5
50,500,4,41827,0.5
50,500,5,55819,0.5
50,500,6,64983,0.5
50,500,7,57122,0.5
50,500,8,44874,0.5
50,500,9,60543,0.5
50,500,10,47585,0.5
50,500,11,54383,0.5
100,500,0,100853,0.5
100,500,1,112497,0.5
100,500,2,69638,0.5
100,500,3,93832,0.5
100,500,4,75039,0.5
100,500,5,87933,0.5
100,500,6,119547,0.5
100,500,7,111227,0.5
100,500,8,80625,0.5
100,500,9,94905,0.5
100,500,10,113309,0.5
100,500,11,100889,0.5
200,500,0,198411,0.5
200,500,1,224961,0.5
200,500,2,145239,0.5
200,500,3,218371,0.5
200,500,4,151860,0.5
200,500,5,221959,0.5
200,500,6,195302,0.5
200,500,7,216502,0.5
200,500,8,197427,0.5
200,500,9,189479,0.5
200,500,10,210247,0.5
200,500,11,201762,0.5
