param_name,param_value,n_nodes,n_edges,tau_mean,tau_std,tau_min,tau_max,tau_median,ci95_low,ci95_high,n_runs,alpha
k,10,500,12351,27007.17,14839.00,5426.00,56834.00,28226.50,18611.21,35403.12,12,0.0
k,20,500,12351,109352.75,82570.63,14166.00,283054.00,101754.00,62634.02,156071.48,12,0.0
k,50,500,12351,587389.33,544077.99,85586.00,1949931.00,354495.50,279548.23,895230.44,12,0.0
k,100,500,12351,1964655.92,1593908.22,570323.00,6567281.00,1488819.50,1062817.44,2866494.39,12,0.0
k,200,500,12351,11982816.33,9656707.77,1809946.00,34165380.00,9576919.50,6519019.56,17446613.11,12,0.0
k,10,500,12351,20248.75,14520.00,8461.00,58987.00,15099.00,12033.29,28464.21,12,0.25
k,20,500,12351,39253.00,22415.64,16129.00,93227.00,31563.00,26570.16,51935.84,12,0.25
k,50,500,12351,94228.75,40547.51,47480.00,167664.00,78654.00,71286.84,117170.66,12,0.25
k,100,500,12351,202700.83,68515.84,102119.00,333142.00,197052.50,163934.35,241467.32,12,0.25
k,200,500,12351,390894.17,102579.97,204697.00,551612.00,395960.00,332854.08,448934.25,12,0.25
k,10,500,12351,11593.25,7489.93,3963.00,30620.00,10365.50,7355.42,15831.08,12,0.5
k,20,500,12351,22939.00,8131.55,8350.00,38131.00,23285.50,18338.14,27539.86,12,0.5
k,50,500,12351,51665.42,10585.18,34176.00,70248.00,50984.00,45676.29,57654.54,12,0.5
k,100,500,12351,96691.17,16072.23,69638.00,119547.00,97879.00,87597.45,105784.89,12,0.5
k,200,500,12351,197626.67,25608.43,145239.00,224961.00,200086.50,183137.34,212116.00,12,0.5
